fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0016155088852988692,0.999437129896622
0.0,0.10177705977382875,0.9715789510313748
0.00041999160016799666,0.10177705977382875,0.9715745458968946
0.00041999160016799666,0.11954765751211632,0.9664304228553602
0.0008399832003359933,0.11954765751211632,0.9656954672354732
0.0008399832003359933,0.17447495961227788,0.950272765708591
0.00125997480050399,0.17447495961227788,0.9499986932074825
0.00125997480050399,0.2972536348949919,0.8905209005416209
0.0016799664006719867,0.2972536348949919,0.8868605450734295
0.0016799664006719867,0.30048465266558966,0.8825763872269065
0.0020999580008399833,0.30048465266558966,0.88185187015943
0.0020999580008399833,0.3053311793214863,0.8797101400317896
0.00251994960100798,0.3053311793214863,0.8777998681686244
0.00251994960100798,0.35379644588045234,0.8543551496359448
0.0029399412011759767,0.35379644588045234,0.8527832652560787
0.0029399412011759767,0.3602584814216478,0.8498886971142185
0.0033599328013439733,0.3602584814216478,0.8484705830810236
0.0033599328013439733,0.37318255250403876,0.837151443043899
0.0037799244015119695,0.37318255250403876,0.836522744135355
0.0037799244015119695,0.3764135702746365,0.8320120143759808
0.004199916001679967,0.3764135702746365,0.8319808790500731
0.004199916001679967,0.40064620355411956,0.8159467195942265
0.004619907601847963,0.40064620355411956,0.8153333667878726
0.004619907601847963,0.41518578352180935,0.8030361149036785
0.00503989920201596,0.41518578352180935,0.8029308786818655
0.00503989920201596,0.42487883683360256,0.7975388354477082
0.005879882402351953,0.42487883683360256,0.794910340719464
0.005879882402351953,0.43134087237479807,0.7922659414766771
0.00629987400251995,0.43134087237479807,0.7915085386509503
0.00629987400251995,0.4378029079159935,0.7855325681835315
0.006719865602687947,0.4378029079159935,0.7852994167949066
0.006719865602687947,0.4394184168012924,0.7850058135578707
0.007139857202855943,0.4394184168012924,0.784997119880589
0.007139857202855943,0.4410339256865913,0.7839747598183562
0.007559848803023939,0.4410339256865913,0.7834466446509885
0.007559848803023939,0.44264943457189015,0.782347652652312
0.007979840403191937,0.44264943457189015,0.7812342966646745
0.007979840403191937,0.4458804523424879,0.7768345040301358
0.00881982360352793,0.4458804523424879,0.7762607134246716
0.00881982360352793,0.4668820678513732,0.7667994402875162
0.009239815203695927,0.4668820678513732,0.7667053882299434
0.009239815203695927,0.46849757673667203,0.7663346512657254
0.009659806803863923,0.46849757673667203,0.7662728885219714
0.009659806803863923,0.4701130856219709,0.7645174466570556
0.01007979840403192,0.4701130856219709,0.7638336004537933
0.01007979840403192,0.47334410339256866,0.7634929545854837
0.010919781604367913,0.47334410339256866,0.7624454026953202
0.010919781604367913,0.48465266558966075,0.7559872039450953
0.01133977320453591,0.48465266558966075,0.7518427800368112
0.01133977320453591,0.4894991922455573,0.7508107410853383
0.0125997480050399,0.4894991922455573,0.7485650186392369
0.0125997480050399,0.49434571890145396,0.7470327908627568
0.013019739605207897,0.49434571890145396,0.7446328997789077
0.013019739605207897,0.4991922455573506,0.7433150270056021
0.013439731205375893,0.4991922455573506,0.7419944659403516
0.013439731205375893,0.5088852988691438,0.7348108131576728
0.01385972280554389,0.5088852988691438,0.7344420888023955
0.01385972280554389,0.5137318255250404,0.7317728614802783
0.014279714405711887,0.5137318255250404,0.7315208104094875
0.014279714405711887,0.5153473344103393,0.7286813337292313
0.014699706005879883,0.5153473344103393,0.72855388073682
0.014699706005879883,0.5218093699515347,0.7231114152815415
0.01637967240655187,0.5218093699515347,0.7167336453385951
0.01637967240655187,0.5234248788368336,0.7132662322887261
0.01763964720705586,0.5234248788368336,0.7104877656614649
0.01763964720705586,0.5250403877221325,0.7101276776516711
0.018479630407391853,0.5250403877221325,0.7077797395855945
0.018479630407391853,0.529886914378029,0.7058297800985014
0.01889962200755985,0.529886914378029,0.7056567400538136
