number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
36,0.929994,2026-06-24 10:03:10.526683,2026-06-24 10:03:13.736355,0 days 00:00:03.209672,0.444875,99,8,297,1.54904,0.03815,0.861157,COMPLETE
37,0.931726,2026-06-24 10:03:13.736355,2026-06-24 10:03:16.262731,0 days 00:00:02.526376,0.314625,144,4,372,5.228572,0.013742,0.392161,COMPLETE
38,0.932606,2026-06-24 10:03:16.262731,2026-06-24 10:03:19.584529,0 days 00:00:03.321798,0.55499,213,6,385,1.541692,0.020908,0.001941,COMPLETE
39,0.926973,2026-06-24 10:03:19.584529,2026-06-24 10:03:24.440339,0 days 00:00:04.855810,0.844319,188,8,345,7.831073,0.077054,0.003781,COMPLETE
40,0.931964,2026-06-24 10:03:24.440339,2026-06-24 10:03:26.115542,0 days 00:00:01.675203,0.419688,155,5,211,2.581076,0.033205,1.567727,COMPLETE
41,0.932904,2026-06-24 10:03:26.115542,2026-06-24 10:03:28.851322,0 days 00:00:02.735780,0.933584,178,5,351,8.191789,0.027821,0.098823,COMPLETE
42,0.932741,2026-06-24 10:03:28.851322,2026-06-24 10:03:31.456656,0 days 00:00:02.605334,0.944087,176,4,361,7.279443,0.026862,0.084329,COMPLETE
43,0.927003,2026-06-24 10:03:31.456656,2026-06-24 10:03:38.736593,0 days 00:00:07.279937,0.893671,198,9,400,8.943506,0.059529,0.433494,COMPLETE
44,0.931663,2026-06-24 10:03:38.736593,2026-06-24 10:03:42.071982,0 days 00:00:03.335389,0.990844,179,6,392,8.168677,0.042549,0.058728,COMPLETE
45,0.932652,2026-06-24 10:03:42.071982,2026-06-24 10:03:44.283759,0 days 00:00:02.211777,0.721275,236,4,317,6.856576,0.026663,0.008048,COMPLETE
46,0.93104,2026-06-24 10:03:44.283759,2026-06-24 10:03:47.877719,0 days 00:00:03.593960,0.655404,149,7,368,4.984147,0.0351,0.030233,COMPLETE
47,0.931118,2026-06-24 10:03:47.877719,2026-06-24 10:03:50.588321,0 days 00:00:02.710602,0.748121,168,5,334,4.001109,0.020322,3.599793,COMPLETE
48,0.932863,2026-06-24 10:03:50.588321,2026-06-24 10:03:53.003124,0 days 00:00:02.414803,0.836497,209,4,354,2.106844,0.031307,0.156486,COMPLETE
49,0.930501,2026-06-24 10:03:53.003124,2026-06-24 10:03:55.910778,0 days 00:00:02.907654,0.831255,212,5,379,2.239039,0.089333,0.677151,COMPLETE
