,precision,recall,f1-score,support
0.0,0.916,0.953,0.9341,2381.0
1.0,0.7859,0.664,0.7198,619.0
accuracy,0.8933,0.8933,0.8933,0.8933
macro avg,0.8509,0.8085,0.827,3000.0
weighted avg,0.8892,0.8933,0.8899,3000.0
