model,mean_auc_roc,std_auc_roc,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall
CatBoost_Baseline,0.930619,0.006491,0.89375,0.008362,0.72207,0.023956,0.784417,0.02307,0.669344,0.029692
CatBoost_Tuned,0.93339,0.006002,0.8965,0.007722,0.725244,0.024239,0.801401,0.019728,0.662877,0.032422
Delta (Tuned - Baseline),0.002771,,0.00275,,0.003174,,0.016984,,-0.006467,
